tweet_id,tweet_text,tweet_created_at,tweet_lang,retweet_count,favorite_count,reply_count,quote_count,bookmark_count,view_count,tweet_url,hashtags,source,username
236550532670570497,ا أعاني من إكتئاب مزمن وحاد وأتعالج عند اطبه نفسيين كثر اتمنى ان يوفقك الله في علاج يذهب عني الكئابه والحزن الشديد وان أشعر بالبهجه والسعاده,Fri Aug 17 19:50:16 +0000 2012,ar,0,0,0,0,0,,https://x.com/faiz3636/status/236550532670570497,,,faiz3636
1508543120719368192,أعاني من إكتئاب حاد، اصدقائي يعاتبونني على ابتعادي، وامي تغضب لأن حالي يتدهور. اما انا فأفكر كيف سأمر هذه الليلة متجاوزا رغبتي في قتل نفسي💔🤦‍♀️,Mon Mar 28 20:34:42 +0000 2022,ar,0,1,0,0,0,,https://x.com/_forever__yy/status/1508543120719368192,,,_forever__yy
1954996276174393587,سامح فديتك ولا تنسى عملنا في سهرنا ….,Mon Aug 11 20:00:08 +0000 2025,ar,0,2,0,0,0,99,https://x.com/m7mdal476/status/1954996276174393587,,,m7mdal476
1107284619924258816,انه ييسر لي ربي الحج هذه السنة #امنيه_ترغبون_تحقيقها,Sun Mar 17 14:16:40 +0000 2019,ar,0,0,0,0,0,,https://x.com/Pz72cK8JitAiI4B/status/1107284619924258816,امنيه_ترغبون_تحقيقها,,Pz72cK8JitAiI4B
1172667112017596418,vivre en paix,Sat Sep 14 00:23:21 +0000 2019,fr,0,1,1,0,0,,https://x.com/satur2019/status/1172667112017596418,,,satur2019
1419268217445527556,"كم مرةً سيكسرنا الشوق والحنين!
كم مرةً سنكتبُ رسائل لن تصل؟
كم مرةً سننتظرُ اشخاصاً لا يأتون؟

#سوا_بلس_أقوى",Sun Jul 25 12:08:06 +0000 2021,ar,0,0,0,0,0,,https://x.com/NqQeLXjRusZ6VbL/status/1419268217445527556,سوا_بلس_أقوى,,NqQeLXjRusZ6VbL
1419268103196844032,"كم مرةً سيكسرنا الشوق والحنين!
كم مرةً سنكتبُ رسائل لن تصل؟
كم مرةً سننتظرُ اشخاصاً لا يأتون؟ #KSAvGER",Sun Jul 25 12:07:39 +0000 2021,ar,1,0,0,0,0,,https://x.com/NqQeLXjRusZ6VbL/status/1419268103196844032,KSAvGER,,NqQeLXjRusZ6VbL
369204383721873408,مرحبا يا أصدقائي,Sun Aug 18 21:09:19 +0000 2013,ar,0,1,0,0,0,,https://x.com/EngAbdullahtha/status/369204383721873408,,,EngAbdullahtha
2023296089311297607,عدت ساعات وأيام وشهور ولم أستطيع نسيان اسمها بكل ثانية تمر اسمها يتردد في عقلي  مع أنني اعلم أنها لا تصلح لي أبدا ولكن قلبي متمكن مني ويحن لها بكل لحظات من يومي لقد عددت مساؤها وحسناتها لكن بكل مرا تكون الكفى لصالح مساؤها لا اعلم هل أنا مجنون او عاقل,Mon Feb 16 07:19:13 +0000 2026,ar,0,0,0,0,0,3,https://x.com/bdrn475298/status/2023296089311297607,,,bdrn475298
2016417243693805810,صباحي اصبح جدا رتيب وأعلم ان بسبب أفعالي ومزاجي المتعكر أنني سوف افقد أشياء كثير ومنها وظيفتي لا اعلم ماذا افعل لاتخطى حاولت ان اقراء كتب عن تطوير الذات ووجدت فيها بعض الحلول ولكن في كل مرا ارجع إلى نقطه الصفر بسبب الاشتياق وأنا اعلم ان لا توجد فائده ان اشتاق لشخص ضرني,Wed Jan 28 07:45:08 +0000 2026,ar,0,0,0,0,0,10,https://x.com/bdrn475298/status/2016417243693805810,,,bdrn475298
2016192630606971163,حاليا لا اعلم سبب وجودي في هذا العالم كل ما في الأمر أنني احاول وضع نهايه لوضعي سوا المادي او العاطفي لا اعلم كيف إنما سوف احاول أخشى أنني لن أستطيع بسبب عدم فهمي للناس الذين حولي لقد اصبح العالم غريب بالنسبه لي,Tue Jan 27 16:52:36 +0000 2026,ar,0,0,0,0,0,12,https://x.com/bdrn475298/status/2016192630606971163,,,bdrn475298
2016135452059673032,نعم أنا لدي اكتئاب حاد بسبب علاقه كانت فاشله بكل ما تعنيه الكلمة لقد أصبحت في حالة لا اعلم ما أريده من حياتي هل أريد رجوع الشخص الموذي الذي كان في حياتي او أنني لم  استطع مسامحته لذلك لا أستطيع التخطي لقد أصبحت لا اعلم هل أنا اتيت في زمن غير زماني,Tue Jan 27 13:05:24 +0000 2026,ar,0,0,0,0,0,13,https://x.com/bdrn475298/status/2016135452059673032,,,bdrn475298
