user_id,user_name,user_screen_name,user_description,user_location,user_followers_count,user_following_count,user_statuses_count,user_favourites_count,user_listed_count,user_verified,user_is_blue_verified,user_protected,user_created_at,user_profile_image_url,user_default_profile,user_default_profile_image,user_media_count,user_possibly_sensitive,user_pinned_tweet_ids,user_profile_url,collection_status,username,tweets_collected,batches_used,timestamp,user_profile_banner_url
1247827346758959105,chafi amina,chafi_amina,,,1,2,1,0,0,False,False,False,Wed Apr 08 10:03:38 +0000 2020,https://pbs.twimg.com/profile_images/1247827527118123008/2z38N8Mb_normal.jpg,True,False,0,False,[],https://x.com/chafi_amina,success,chafi_amina,0,0,2026-03-12T00:44:35.500954,
1501862179871596551,Amal Magdy,Loiymagdy92,,,0,7,1,1,0,False,False,False,Thu Mar 10 10:07:42 +0000 2022,https://pbs.twimg.com/profile_images/1501862350906925057/oi93xwxM_normal.png,True,False,0,False,[],https://x.com/Loiymagdy92,success,Loiymagdy92,0,0,2026-03-12T00:44:44.664098,
826054317098557440,Mishary Azzam,a1zz2m,,,1,13,4,0,0,False,False,False,Mon Jan 30 13:07:51 +0000 2017,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,True,True,0,False,[],https://x.com/a1zz2m,success,a1zz2m,0,0,2026-03-12T00:44:51.078805,
1187819502525997057,ibrahim koubia,ibrahim_koubia,19822,,1,95,6,0,0,False,False,False,Fri Oct 25 19:53:46 +0000 2019,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,True,True,0,False,[],https://x.com/ibrahim_koubia,success,ibrahim_koubia,0,0,2026-03-12T00:45:16.490049,
1631281110,هدوء الفجر,trlo2000,,,3,58,7,0,0,False,False,False,Mon Jul 29 21:34:59 +0000 2013,https://pbs.twimg.com/profile_images/378800000211875023/b486c81efa62584dd1f57060e2ecddcd_normal.jpeg,False,False,0,False,[],https://x.com/trlo2000,success,trlo2000,0,0,2026-03-12T00:45:22.473023,
1589355648445304833,اناقه رجل,nqhrjl06865012,,,0,11,7,6,0,False,False,False,Sun Nov 06 20:35:13 +0000 2022,https://pbs.twimg.com/profile_images/1589355749947457538/-qkYM2GY_normal.png,True,False,0,False,[],https://x.com/nqhrjl06865012,success,nqhrjl06865012,0,0,2026-03-12T00:45:32.534633,
1547654916558114819,Marwa Mohammednour,MarwaNour24,,"القاهرة, مصر",4,122,9,81,0,False,False,False,Thu Jul 14 18:51:43 +0000 2022,https://pbs.twimg.com/profile_images/1918966864106967040/8EI-jkba_normal.jpg,True,False,2,False,[],https://x.com/MarwaNour24,success,MarwaNour24,0,0,2026-03-12T00:45:40.890254,
1805774442322444289,Fatma Badawy,FatmaBadaw75014,بنت عادية بتقول الي فقلبها,"كفر الشيخ, مصر",0,2,11,8,0,False,False,False,Wed Jun 26 01:26:23 +0000 2024,https://pbs.twimg.com/profile_images/1821468006205026304/dNtYY2FF_normal.jpg,True,False,3,False,[],https://x.com/FatmaBadaw75014,success,FatmaBadaw75014,0,0,2026-03-12T00:45:46.202553,https://pbs.twimg.com/profile_banners/1805774442322444289/1723106788
1723859544399327232,..,zynhlzhrny28170,,المملكة العربية السعودية,1,3,12,12,0,False,False,False,Mon Nov 13 00:25:47 +0000 2023,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,True,True,0,False,[],https://x.com/zynhlzhrny28170,success,zynhlzhrny28170,0,0,2026-03-12T00:45:53.606009,
1921277355492073472,k💸,zmilier123,مساحه اعبر فيها …,,0,7,12,21,0,False,False,False,Sat May 10 18:54:43 +0000 2025,https://pbs.twimg.com/profile_images/1998507337821114368/7YygH0ti_normal.jpg,True,False,0,False,[],https://x.com/zmilier123,success,zmilier123,0,0,2026-03-12T00:45:58.913268,https://pbs.twimg.com/profile_banners/1921277355492073472/1765316288
